iter	Passed	Remaining
354	140214	1834641
355	140599	1834117
356	140961	1833285
357	141325	1832495
358	141717	1832066
359	142101	1831534
360	142484	1830987
361	142855	1830290
362	143231	1829659
363	143610	1829059
364	144001	1828622
365	144386	1828108
366	144766	1827535
367	145132	1826775
368	145520	1826296
369	145909	1825840
370	146290	1825273
371	146690	1824952
372	147103	1824795
373	147529	1824794
374	147939	1824583
375	148371	1824649
376	148786	1824505
377	149222	1824622
378	149641	1824515
379	150105	1824963
380	150508	1824663
381	150950	1824835
382	151356	1824581
383	151779	1824519
384	152186	1824259
385	152607	1824168
386	153010	1823865
387	153436	1823836
388	153876	1823969
389	154279	1823667
390	154706	1823633
391	155142	1823718
392	155559	1823569
393	155988	1823557
394	156410	1823470
395	156817	1823197
396	157226	1822961
397	157662	1823023
398	158081	1822894
399	158514	1822917
400	158928	1822725
401	159329	1822380
402	159754	1822311
403	160186	1822316
404	160613	1822267
405	161028	1822081
406	161456	1822037
407	161894	1822105
408	161959	1817990
409	162377	1817837
410	162804	1817789
411	163239	1817825
412	163699	1818135
413	164117	1817974
414	164524	1817695
415	164945	1817572
416	165362	1817404
417	165765	1817079
418	166169	1816763
419	166609	1816841
420	167047	1816886
421	167465	1816719
422	167910	1816845
423	168329	1816685
424	168745	1816496
425	169165	1816348
426	169570	1816031
427	169995	1815928
428	170409	1815711
429	170829	1815556
430	171226	1815163
431	171658	1815129
432	172075	1814942
433	172498	1814816
434	172907	1814536
435	173327	1814368
436	173761	1814358
437	174187	1814249
438	174599	1814000
439	175011	1813751
440	175417	1813441
441	175836	1813260
442	176278	1813319
443	176713	1813307
444	177132	1813124
445	177557	1812994
446	177985	1812904
447	178401	1812681
448	178808	1812376
449	179224	1812158
450	179650	1812036
451	180071	1811870
452	180498	1811760
453	180927	1811664
454	181341	1811420
455	181769	1811317
456	182188	1811124
457	182600	1810857
458	183013	1810594
459	183439	1810466
460	183876	1810442
461	184280	1810096
462	184719	1810093
463	185129	1809796
464	185548	1809592
465	185983	1809550
466	186408	1809397
467	186829	1809207
468	187237	1808901
469	187666	1808782
470	188083	1808553
471	188500	1808328
472	188916	1808088
473	189326	1807786
474	189728	1807409
475	190149	1807222
476	190573	1807049
477	190988	1806802
478	191409	1806598
479	191835	1806453
480	192256	1806252
481	192371	1803182
482	192786	1802931
483	193196	1802633
484	193620	1802466
485	194056	1802407
486	194455	1802008
487	194889	1801924
488	195312	1801744
489	195712	1801349
490	196143	1801240
491	196545	1800867
492	196985	1800836
493	197406	1800634
494	197832	1800473
495	198258	1800312
496	198647	1799817
497	199084	1799753
498	199518	1799662
499	199932	1799395
500	200351	1799165
501	200760	1798842
502	201196	1798771
503	201610	1798494
504	202035	1798315
505	202455	1798095
506	202857	1797705
507	203276	1797474
508	203703	1797315
509	204121	1797073
510	204538	1796812
511	204964	1796638
512	205412	1796660
513	205834	1796446
514	206254	1796220
515	206668	1795933
516	207104	1795837
517	207537	1795723
518	207951	1795437
519	208378	1795264
520	208785	1794914
521	209189	1794542
522	209606	1794283
523	210040	1794160
524	210453	1793863
525	210876	1793652
526	211303	1793469
527	211719	1793197
528	212127	1792855
529	212545	1792601
530	212976	1792452
531	213398	1792228
532	213808	1791901
533	214213	1791534
534	214636	1791309
535	215046	1790980
536	215442	1790543
537	215879	1790436
538	216295	1790155
539	216696	1789750
540	217105	1789413
541	217510	1789047
542	217914	1788660
543	218343	1788487
544	218766	1788261
545	219183	1787991
546	219578	1787534
547	219957	1786952
548	220401	1786899
549	220781	1786319
550	221131	1785504
551	221501	1784852
552	221888	1784332
553	222284	1783896
554	222704	1783638
555	223135	1783480
556	223508	1782850
557	223906	1782424
558	224299	1781956
559	224683	1781420
560	225066	1780869
561	225443	1780284
562	225828	1779749
563	226201	1779132
564	226639	1779016
565	227017	1778436
566	227395	1777852
567	227794	1777441
568	228179	1776912
569	228584	1776545
570	229010	1776335
571	229381	1775702
572	229795	1775401
573	230277	1775626
574	230703	1775416
575	231133	1775234
576	231554	1774981
577	232000	1774926
578	232426	1774711
579	232845	1774442
580	233246	1774034
581	233639	1773570
582	234023	1773042
583	234431	1772685
584	234828	1772255
585	235239	1771927
586	235646	1771564
587	236052	1771196
588	236444	1770725
589	236841	1770292
590	237251	1769951
591	237656	1769577
592	238069	1769264
593	238471	1768865
594	238910	1768737
595	239306	1768295
596	239717	1767966
597	240122	1767587
598	240517	1767139
599	240924	1766776
600	241309	1766254
601	241696	1765751
602	242108	1765426
603	242556	1765359
604	242947	1764883
605	243365	1764600
606	243784	1764325
607	244172	1763823
608	244549	1763244
609	244948	1762829
610	245345	1762388
611	245748	1762002
612	246147	1761578
613	246548	1761173
614	246945	1760744
615	247344	1760324
616	247755	1759985
617	248166	1759654
618	248555	1759161
619	248958	1758770
620	249393	1758602
621	249786	1758145
622	250186	1757733
623	250580	1757273
624	250965	1756758
625	251355	1756277
626	251758	1755887
627	252141	1755354
628	252539	1754925
629	252931	1754461
630	253337	1754089
631	253732	1753642
632	254136	1753264
633	254533	1752827
634	254923	1752344
635	255352	1752133
636	255778	1751904
637	256191	1751578
638	256565	1750989
639	257004	1750845
640	257402	1750419
641	257770	1749784
642	258170	1749377
643	258560	1748897
644	258958	1748472
645	259354	1748030
646	259771	1747736
647	260175	1747352
648	260557	1746820
649	260958	1746414
650	261378	1746138
651	261756	1745576
652	262171	1745269
653	262548	1744702
654	262952	1744317
655	263344	1743851
656	263735	1743385
657	264128	1742925
658	264531	1742536
659	264928	1742104
660	265318	1741630
661	265704	1741126
662	266117	1740799
663	266527	1740453
664	266910	1739932
665	267325	1739624
666	267738	1739297
667	268158	1739013
668	268558	1738606
669	268968	1738257
670	269360	1737793
671	269770	1737452
672	270180	1737100
673	270570	1736632
674	270951	1736097
675	271335	1735586
676	271729	1735138
677	272120	1734667
678	272509	1734186
679	272898	1733707
680	273289	1733241
681	273683	1732796
682	274098	1732477
683	274489	1732013
684	274898	1731660
685	275286	1731177
686	275683	1730744
687	276078	1730307
688	276479	1729900
689	276885	1729533
690	277310	1729276
691	277723	1728949
692	278144	1728668
693	278558	1728348
694	278955	1727920
695	279372	1727615
696	279794	1727340
697	280190	1726902
698	280579	1726429
699	280980	1726023
700	281395	1725707
701	281798	1725314
702	282189	1724850
703	282596	1724479
704	283008	1724145
705	283406	1723719
706	283831	1723462
707	284254	1723191
708	284693	1723019
709	285111	1722715
710	285562	1722612
711	285992	1722379
712	286402	1722030
713	286810	1721667
714	287256	1721532
715	287682	1721271
716	288039	1720602
717	288400	1719957
718	288767	1719349
719	289140	1718777
720	289495	1718101
721	289855	1717456
722	290224	1716863
723	290555	1716044
724	290901	1715314
725	291253	1714622
726	291605	1713933
727	291946	1713180
728	292295	1712473
729	292636	1711722
730	292988	1711036
731	293357	1710450
732	293726	1709866
733	294076	1709171
734	294424	1708460
735	294797	1707905
736	295169	1707337
737	295524	1706671
738	295888	1706061
739	296240	1705387
740	296602	1704763
741	296977	1704219
742	297348	1703653
743	297734	1703169
744	298101	1702579
745	298467	1701985
746	298824	1701337
747	299170	1700630
748	299551	1700125
749	299933	1699621
750	300289	1698972
751	300635	1698267
752	301015	1697757
753	301353	1697010
754	301722	1696439
755	302083	1695822
756	302438	1695175
757	302796	1694540
758	303148	1693874
759	303493	1693175
760	303846	1692517
761	304215	1691948
762	304571	1691312
763	304930	1690690
764	305298	1690117
765	305666	1689548
766	306029	1688945
767	306406	1688425
768	306752	1687737
769	307126	1687200
770	307503	1686684
771	307886	1686196
772	308253	1685624
773	308601	1684949
774	308989	1684492
775	309333	1683796
776	309699	1683219
777	310072	1682683
778	310432	1682075
779	310782	1681415
780	311161	1680912
781	311509	1680241
782	311866	1679616
783	312228	1679025
784	312577	1678364
785	312929	1677717
786	313287	1677101
787	313639	1676456
788	313773	1674652
789	314133	1674052
790	314497	1673476
791	314872	1672956
792	315231	1672357
793	315602	1671818
794	315961	1671216
795	316330	1670670
796	316688	1670066
797	317050	1669479
798	317417	1668925
799	317779	1668341
800	318140	1667754
801	318491	1667118
802	318849	1666512
803	319246	1666119
804	319602	1665505
805	319980	1665010
806	320318	1664308
807	320670	1663674
808	321034	1663111
809	321387	1662485
810	321748	1661902
811	322087	1661207
812	322434	1660556
813	322812	1660067
814	323162	1659428
815	323527	1658873
816	323902	1658364
817	324278	1657862
818	324631	1657248
819	325022	1656824
820	325394	1656299
821	325740	1655647
822	326102	1655081
823	326476	1654571
824	326841	1654013
825	327197	1653416
826	327565	1652879
827	327920	1652275
828	328292	1651760
829	328642	1651131
830	329010	1650596
831	329367	1650004
832	329723	1649408
833	330099	1648913
834	330480	1648444
835	330862	1647982
836	331216	1647378
837	331573	1646790
838	331931	1646206
839	332299	1645671
840	332673	1645173
841	333025	1644562
842	333392	1644024
843	333749	1643439
844	334104	1642843
845	334464	1642276
846	334837	1641773
847	335188	1641156
848	335538	1640543
849	335904	1640006
850	336282	1639523
851	336627	1638887
852	336994	1638355
853	337360	1637818
854	337731	1637307
855	338103	1636802
856	338460	1636220
857	338824	1635677
858	339180	1635093
859	339547	1634567
860	339901	1633975
861	340265	1633432
862	340625	1632869
863	340968	1632230
864	341321	1631634
865	341665	1630999
866	342026	1630446
867	342387	1629889
868	342755	1629371
869	343118	1628825
870	343475	1628257
871	343830	1627676
872	344180	1627069
873	344539	1626509
874	344925	1626076
875	345284	1625518
876	345640	1624942
877	346000	1624388
878	346334	1623715
879	346686	1623124
880	347051	1622592
881	347407	1622023
882	347744	1621362
883	348114	1620859
884	348484	1620355
885	348836	1619768
886	349197	1619219
887	349559	1618679
888	349901	1618046
889	350253	1617461
890	350619	1616940
891	350974	1616371
892	351349	1615893
893	351703	1615320
894	352050	1614712
895	352405	1614144
896	352805	1613778
897	353160	1613213
898	353529	1612707
899	353879	1612119
900	354237	1611566
901	354589	1610985
902	354953	1610458
903	355316	1609930
904	355673	1609374
905	356026	1608798
906	356397	1608308
907	356748	1607727
908	357110	1607193
909	357490	1606743
910	357849	1606197
911	358206	1605644
912	358586	1605193
913	358955	1604697
914	359330	1604224
915	359700	1603728
916	360063	1603204
917	360434	1602717
918	360786	1602142
919	361154	1601642
920	361507	1601073
921	361883	1600609
922	362218	1599960
923	362597	1599509
924	362969	1599027
925	363328	1598488
926	363696	1597990
927	364070	1597517
928	364428	1596973
929	364810	1596535
930	365186	1596074
931	365542	1595522
932	365917	1595056
933	366280	1594536
934	366658	1594082
935	367040	1593646
936	367422	1593210
937	367777	1592657
938	368123	1592065
939	368457	1591424
940	368815	1590884
941	369257	1590707
942	369627	1590220
943	370016	1589817
944	370386	1589331
945	370753	1588832
946	371110	1588290
947	371488	1587839
948	371826	1587218
949	372187	1586693
950	372547	1586166
951	372901	1585615
952	373265	1585106
953	373633	1584611
954	374005	1584136
955	374352	1583557
956	374706	1583006
957	375058	1582448
958	375422	1581940
959	375767	1581354
960	376123	1580813
961	376486	1580303
962	376877	1579911
963	377224	1579335
964	377579	1578792
965	377960	1578354
